gloss,video_count,train_count,val_count,test_count,participant_count,asl_lex_codes
BLINDS2,31,16,3,12,29,C_03_014
BLOND,31,16,3,12,27,E_02_102
BLOOM,31,15,4,12,29,G_03_014
BLOW,31,15,4,12,30,E_02_096
BLOWMIND,31,13,4,14,27,F_02_045
BLUE,31,15,3,13,27,C_02_062
BLUR,31,15,3,13,27,J_03_088
BOIL2,31,14,4,13,27,G_03_101
BOILINGMAD,31,16,5,10,27,H_02_025
BOLT,31,15,3,13,28,F_01_089
BOOK,31,15,4,12,30,A_01_027
BORED1,31,15,4,12,30,B_01_017
BOSS,31,15,4,12,30,B_02_052
BOTH,31,16,5,10,27,H_01_076
BOTTOM,31,15,4,12,29,F_01_066
BOUNCE,31,14,3,14,26,H_03_057
BOW1,31,15,4,12,28,F_03_065
BOWLING1,31,14,4,13,29,A_02_003
BOWLING2,31,16,3,12,29,K_01_067
BOWTIE,31,14,4,13,29,A_01_044
BOX,31,13,6,12,28,C_03_025
BRA3,31,15,4,12,27,K_02_039
BRAG,31,16,4,11,30,B_03_011
BRAINSTORM,31,16,3,12,27,J_01_103
BRAINWASH,31,15,4,12,30,E_01_030
BREAD,31,14,4,13,29,A_02_058
BREAKDOWN2,31,15,4,12,29,B_01_064
BREAKTIME,31,16,5,10,27,J_01_047
BRIDESMAID,31,15,4,12,30,A_03_016
BRIDGE2,31,15,3,13,27,K_01_018
BRIGHT,31,15,4,12,29,F_03_028
BRING,31,13,4,14,27,F_03_004
BUCKLE1,31,16,3,12,27,K_02_056
BUDGET,31,16,3,12,28,E_01_099
BUILDING,31,14,4,13,29,A_03_088
BULL,31,16,3,12,30,E_01_098
BULLSHIT,31,16,3,12,30,J_03_053
BUMPY,31,16,3,12,28,K_01_123
BURY2,31,15,3,13,27,K_02_014
BURY3,31,15,3,13,27,K_02_093
BUS,31,13,4,14,27,E_01_004
BUSY,31,16,3,12,28,E_02_040
BUTTER,31,14,4,13,29,A_01_034
BUY,31,16,4,11,27,D_03_074
CAFETERIA,31,14,4,13,28,A_02_054
CAKE,31,16,3,12,29,D_01_033
CALL2,31,15,3,13,27,J_02_048
CALLATTENTION,31,14,4,13,29,C_01_038
CAMCORDER,31,16,4,11,27,E_03_021
CAMERA,31,15,4,12,30,B_03_073
CAMPING,31,15,4,12,30,A_01_045
CAN1,31,15,4,12,30,D_03_027
CANNOT,31,16,3,12,29,E_02_094
CARBATTERY,31,13,4,14,27,E_01_039
CARDS,31,16,3,12,29,J_03_065
CAREFUL,31,15,4,12,30,B_03_039
CAROUSEL,31,16,4,11,28,E_01_063
CARROT1,31,14,4,13,29,A_02_083
CARVE,31,16,4,11,29,K_02_026
CASTLE1,31,14,4,13,29,A_01_008
CASTLE3,31,15,3,13,27,K_02_019
CASUAL,31,14,4,13,27,H_02_050
CAT3,31,16,3,12,29,K_03_087
CATCH2,31,16,3,12,29,K_03_109
CATEPILLAR,31,16,4,11,29,G_01_025
CELLPHONE,31,16,3,12,29,K_01_128
CHALLENGE,31,15,4,12,30,B_03_051
CHAMPION,31,16,3,12,28,G_01_081
CHANCE,31,14,4,13,29,A_03_080
CHARGE,31,15,4,12,30,F_01_025
CHAT,31,14,4,13,29,C_01_079
CHEAP,31,15,4,12,28,F_02_056
CHEER,31,17,3,11,29,J_03_060
CHEW3,31,15,3,13,28,K_02_041
CHILD,31,16,5,10,27,F_03_101
CHOP,31,16,4,11,29,F_02_099
CHOPSTICKS,31,13,4,14,27,G_01_063
CHURN,31,15,4,12,30,E_01_046
CIGAR,31,15,2,14,28,B_02_055
CIRCUSWHEEL,31,16,3,12,30,H_02_065
CITY2,31,15,3,13,27,K_02_076
CLAP,31,13,4,14,27,G_01_096
CLASH,31,15,4,12,27,K_01_032
CLEAN,31,15,4,12,29,E_03_082
CLEFTCHIN,31,15,4,12,28,E_01_054
CLICK,31,15,4,12,29,G_01_047
CLIENT,31,16,3,12,30,J_01_031
CLIMBLADDER,31,16,3,12,28,F_01_103
CLOCK1,31,16,3,12,28,K_02_038
CLOSEEYES,31,16,3,12,29,E_01_068
CLOSET1,31,15,4,12,30,F_03_097
CLOTHES,31,15,4,12,30,E_03_096
CLOUD4,31,16,3,12,29,K_02_071
CLOWN,31,15,3,13,29,A_03_026
COCONUT,31,14,3,14,28,A_02_088
COINS,31,14,3,14,26,D_01_018
COLD,31,15,4,12,28,C_02_068
COLLEGE,31,14,4,13,29,B_01_009
COMB1,31,15,3,13,27,K_03_065
COMB2,31,17,3,11,30,C_02_070
COMEHERE,31,14,3,14,26,H_02_074
COMEOUT,31,16,3,12,27,E_02_020
COMFORTABLE,31,15,5,11,27,H_03_058
COMMENT,31,15,4,12,27,H_01_005
COMMITTEE,31,15,3,13,27,J_03_072
COMMUNICATION,31,14,4,13,29,B_03_013
COMPLAIN,31,14,4,13,27,G_01_023
CONCERNED,31,15,4,12,29,G_02_047
CONFIDENT,31,15,4,12,30,D_02_035
CONFIDENTIAL,31,14,4,13,27,G_02_022
CONGRATULATIONS,31,13,6,12,28,B_02_022
CONNECTION,31,15,4,12,30,E_03_060
CONSUME,31,15,4,12,29,J_01_101
CONTACTLENS,31,15,4,12,29,E_02_074
CONTINUE,31,15,4,12,30,D_03_032
COOK,31,14,4,13,27,D_03_078
COOL1,31,15,4,12,30,H_03_032
COOL3,31,16,3,12,30,H_03_099
COOPERATE,31,16,3,12,29,E_01_010
COPY,31,17,3,11,30,D_01_064
CORKSCREW1,31,16,4,11,30,K_01_085
CORN1,31,15,4,12,30,A_02_084
CORN3,31,15,4,12,27,K_02_078
CORNER,31,16,3,12,30,J_03_071
COST,31,16,3,12,28,E_03_020
COUCH,31,16,5,10,27,G_02_013
COUGH,31,13,6,12,28,C_02_071
COUNT,31,16,3,12,30,G_02_054
COUNTRY,31,16,3,12,27,C_03_058
COUSIN,31,14,4,13,29,C_01_023
CRACK,31,13,4,14,27,F_03_067
CRAWL2,31,16,3,12,29,K_02_088
CREAM1,31,13,4,14,27,F_02_010
CROCODILE,31,15,4,12,26,D_01_081
CROSS2,31,16,4,11,30,K_03_028
CROSS3,31,16,5,10,27,H_01_007
CROSSHEART,31,16,5,10,27,J_01_064
CRUMPLE,31,15,3,13,27,K_01_124
CRY1,31,13,5,13,28,B_03_028
CRY2,31,15,3,13,27,K_01_003
CRY4,31,16,3,12,27,K_02_040
CURLYHAIR,31,16,5,10,27,H_02_007
CURTSEY1,31,16,4,11,26,K_03_038
CUT,31,16,3,12,28,E_02_046
CUTE1,31,15,4,12,28,C_01_045
CUTE2,31,14,4,13,29,B_03_087
CUTREMOVEVID,31,15,4,12,29,F_01_065
DATE,31,15,4,12,29,G_01_031
DEAFSCHOOL,31,15,4,12,27,H_01_022
DECLINE,31,14,4,13,28,F_01_001
DECORATE2,31,16,4,11,28,K_02_030
DEEP,31,14,6,11,28,C_03_006
DEFLATE,31,16,3,12,29,E_01_079
DEGREE,31,15,4,12,30,J_01_021
DELICIOUS,31,13,5,13,28,B_01_082
DEMOTE,31,16,3,12,30,J_03_031
DENTIST1,31,13,6,12,28,A_01_014
DENTIST2,31,16,3,12,27,K_03_027
DENY,31,15,4,12,27,D_02_039
DEPARTMENT,31,15,3,13,27,C_02_033
DEPRESS,31,16,3,12,28,E_02_059
DEPTH,31,16,4,11,29,F_02_018
DESERT,31,14,4,13,29,A_03_008
DESTROY,31,15,4,12,30,E_03_052
DEVOUR,31,15,4,12,29,K_01_047
DIE,31,13,5,13,28,D_02_021
DIFFERENT,31,15,4,12,30,E_03_095
DIFFERENTSITUATION,31,16,4,11,29,J_01_075
DIG,31,16,3,12,29,K_02_119
DIGUP,31,15,4,12,30,G_02_019
DISAPPOINT,31,16,4,11,29,G_03_018
DISCUSS,31,16,3,12,29,E_03_081
DISLIKE,31,16,4,11,27,F_03_006
DISNEY,31,15,4,12,28,D_03_035
DISRUPT,31,16,4,11,28,E_03_076
DIVIDE,31,16,3,12,29,E_02_018
DIVORCE,31,14,4,13,29,C_01_063
DOCTOR2,31,15,4,12,27,K_03_015
DOG2,31,15,3,13,29,J_02_068
DOLPHIN3,31,15,3,13,27,K_03_032
DONTFEELLIKE,31,16,3,12,30,J_01_005
DONTKNOW,31,16,3,12,27,E_03_049
DONTLIKE,31,15,4,12,29,F_01_033
DONTMIND,31,14,4,13,29,B_03_033
DONTWANT,31,15,4,12,28,E_02_014
DONUT,31,15,4,12,29,F_01_071
DOOR,31,14,3,14,28,A_03_052
DOUBLE,31,15,4,12,30,H_03_084
DOUBT,31,14,4,13,29,B_01_057
DOWNHILL,31,16,3,12,30,H_03_012
DRAGON,31,15,3,13,28,F_01_011
DRAWER,31,14,5,12,29,A_01_082
DREAM,31,15,4,12,30,B_02_044
DRESSER,31,16,4,11,29,F_03_075
DRESSUP,31,14,4,13,29,J_03_057
DRILL,31,16,3,12,27,D_02_044
DRINK1,31,14,4,13,29,B_02_012
DRIP,31,14,3,14,27,F_02_102
DRUM,31,15,4,12,29,A_03_075
DRYER,31,14,4,13,29,C_01_007
DUCK2,31,17,3,11,30,D_01_079
EARLY,31,13,4,14,27,G_01_018
EARRING,31,16,3,12,27,C_03_011
EARTHQUAKE,31,15,4,12,30,A_03_039
EASEL,31,15,4,12,28,F_01_044
EAST,31,13,4,14,27,D_03_082
EASY,31,17,3,11,30,D_01_070
EASYTODO,31,16,3,12,30,G_02_073
EDGE,31,16,4,11,29,E_03_099
EGG,31,15,3,13,29,A_03_011
EIGHT,31,16,5,10,27,J_02_099
EITHER,31,16,3,12,27,J_01_085
ELECTRICIAN,31,15,4,12,30,A_02_005
ELEGANCE,31,13,5,13,28,D_03_042
EMOTION,31,14,4,13,29,B_03_005
EMPHASIS,31,15,4,12,28,F_03_086
END,31,16,3,12,28,E_01_074
ENEMY,31,15,4,12,29,E_02_045
ENERGY,31,15,4,12,27,G_02_056
ENGINEER,31,15,4,12,30,A_03_014
ENGINESTART,31,15,4,12,30,E_01_036
ENOUGH,31,17,3,11,29,D_01_084
ENVELOPE1,31,15,4,12,30,D_02_020
ENVELOPE5,31,16,4,11,30,K_02_100
ERASER,31,13,5,13,28,C_01_072
ERUPT2,31,17,3,11,29,K_01_119
ESCALATOR,31,16,3,12,29,F_01_036
ESCAPE,31,13,4,14,27,G_01_012
EVALUATE,31,14,4,13,29,A_03_015
EVEN,31,16,4,11,27,F_03_057
EVERYDAY,31,15,4,12,30,E_01_084
EVERYNIGHT,31,16,3,12,30,J_02_058
EVERYYEAR,31,16,5,10,27,H_02_041
EXAMPLE,31,15,4,12,30,G_02_024
EXERCISE,31,14,4,13,29,C_01_084
EXPECT,31,16,4,11,29,F_02_068
EXPERIMENT,31,16,3,12,30,H_03_002
EXPLODE,31,15,4,12,28,H_01_053
EYEGLASSES,31,14,4,13,29,A_01_012
EYESAWAKE,31,15,4,12,30,G_01_041
EYETURN,31,15,5,11,27,H_03_039
FACE,31,16,3,12,28,E_01_053
FAIR,31,15,4,12,30,G_01_080
FAKE,31,15,4,12,30,G_03_080
FALL1,31,15,4,12,30,B_03_074
FANTASY,31,15,4,12,27,J_01_045
FAR,31,15,4,12,30,D_03_007
FASCINATED,31,16,3,12,27,E_01_087
FASHION,31,16,3,12,29,J_01_010
FAST,31,16,3,12,27,C_03_016
FAT,31,15,4,12,30,C_01_011
FEED1,31,16,3,12,27,K_02_035
FEEDBACK,31,15,3,13,27,J_01_002
FEEL,31,15,4,12,30,C_02_001
FENCE2,31,15,3,13,28,K_03_037
FIANCE,31,13,4,14,27,F_03_034
FIGHT,31,14,4,13,29,B_03_058
FIGURE,31,13,5,13,28,C_01_016
FILE3,31,15,3,13,27,J_03_102
FILLOUT,31,15,4,12,28,H_01_099
FILM,31,15,4,12,30,B_01_037
FINANCE,31,16,4,11,27,F_02_047
FIND,31,14,4,13,29,B_03_076
FIRE,31,15,3,13,29,B_03_090
FIRST,31,14,4,13,29,C_01_033
FISH,31,14,4,13,29,A_03_040
FLASHLIGHT1,31,15,4,12,30,A_03_084
FLASHLIGHT2,31,16,3,12,29,K_01_057
FLASHLIGHT4,31,16,3,12,27,K_02_099
FLIP,31,17,3,11,29,H_02_088
FLIPFLOPS,31,15,4,12,28,F_03_077
FLIPSWITCH,31,15,4,12,30,E_01_066
FLOAT1,31,18,3,10,31,K_01_082
FLOOR,31,15,4,12,30,D_01_062
FLOWER,31,15,3,13,29,A_03_017
FOLD1,31,15,4,12,30,F_02_019
FOLD2,31,15,3,13,26,K_02_072
